id	name	category	team	group	credits
P001	Suryakumar Yadav	Batter	IND	A	10
P002	Abhishek Sharma	All-Rounder	IND	A	12
P003	Tilak Varma	Batter	IND	A	9
P004	Sanju Samson	Wicket-Keeper	IND	A	7
P005	Shivam Dube	All-Rounder	IND	A	8.5
P006	Ishan Kishan	Wicket-Keeper	IND	A	11
P007	Hardik Pandya	All-Rounder	IND	A	10.5
P008	Arshdeep Singh	Bowler	IND	A	7.5
P009	Jasprit Bumrah	Bowler	IND	A	9.5
P010	Harshit Rana	Bowler	IND	A	7
P011	Varun Chakaravarthy	Bowler	IND	A	10
P012	Kuldeep Yadav	Bowler	IND	A	8
P013	Axar Patel	All-Rounder	IND	A	7.5
P014	Washington Sundar	All-Rounder	IND	A	7
P015	Rinku Singh	Batter	IND	A	8
P016	Monank Patel	Wicket-Keeper	USA	A	8
P017	Jasdeep Singh	Bowler	USA	A	7.5
P018	Andries Gous	Wicket-Keeper	USA	A	7
P019	Shehan Jayasuriya	All-Rounder	USA	A	6.5
P020	Milind Kumar	All-Rounder	USA	A	7
P021	Shayan Jahangir	Wicket-Keeper	USA	A	6
P022	Saiteja Mukkamala	Batter	USA	A	6.5
P023	Sanjay Krishnamurthi	All-Rounder	USA	A	7
P024	Harmeet Singh	All-Rounder	USA	A	5.5
P025	Nosthush Kenjige	Bowler	USA	A	7
P026	Shadley Van Schalkwyk	All-Rounder	USA	A	6.5
P027	Saurabh Netravalkar	Bowler	USA	A	7
P028	Ali Khan	Bowler	USA	A	6.5
P029	Mohammad Mohsin	All-Rounder	USA	A	6
P030	Shubham Ranjane	All-Rounder	USA	A	7.5
P031	Gerhard Erasmus	All-Rounder	NAM	A	6.5
P032	Zane Green	Wicket-Keeper	NAM	A	6
P033	Bernard Scholtz	Bowler	NAM	A	5.5
P034	Ruben Trumpelmann	Bowler	NAM	A	6.5
P035	JJ Smit	All-Rounder	NAM	A	6
P036	Jan Frylinck	All-Rounder	NAM	A	5.5
P037	Louren Steenkamp	All-Rounder	NAM	A	6
P038	Malan Kruger	Batter	NAM	A	6.5
P039	Nicol Loftie-Eaton	Wicket-Keeper	NAM	A	5
P040	Jack Brassell	Bowler	NAM	A	5.5
P041	Ben Shikongo	Bowler	NAM	A	5
P042	Jan Balt	All-Rounder	NAM	A	6.5
P043	Dylan Leicher	All-Rounder	NAM	A	6
P044	Willem Myburgh	Bowler	NAM	A	6
P045	Max Heingo	Bowler	NAM	A	6.5
P046	Scott Edwards	Wicket-Keeper	NED	A	7.5
P047	Colin Ackermann	All-Rounder	NED	A	7
P048	Noah Croes	Batter	NED	A	6.5
P049	Bas de Leede	All-Rounder	NED	A	6
P050	Aryan Dutt	Bowler	NED	A	5
P051	Fred Klaassen	Bowler	NED	A	5.5
P052	Kyle Klein	Bowler	NED	A	6
P053	Michael Levitt	All-Rounder	NED	A	5.5
P054	Zach Lion-Cachet	Batter	NED	A	5
P055	Max O'Dowd	Batter	NED	A	5
P056	Logan van Beek	Bowler	NED	A	6
P057	Timm van der Gugten	All-Rounder	NED	A	6.5
P058	Roelof van der Merwe	Bowler	NED	A	5
P059	Paul van Meekeren	Bowler	NED	A	5.5
P060	Saqib Zulfiqar	All-Rounder	NED	A	5
P061	Salman Ali Agha	All-Rounder	PAK	A	6.5
P062	Abrar Ahmed	Bowler	PAK	A	6
P063	Babar Azam	Batter	PAK	A	0.5
P064	Faheem Ashraf	All-Rounder	PAK	A	5
P065	Fakhar Zaman	Batter	PAK	A	7
P066	Khawaja Nafay	Wicket-Keeper	PAK	A	4.5
P067	Mohammad Nawaz	All-Rounder	PAK	A	6.5
P068	Mohammad Salman Mirza	Bowler	PAK	A	4
P069	Naseem Shah	Bowler	PAK	A	7.5
P070	Sahibzada Farhan	Wicket-Keeper	PAK	A	5
P071	Saim Ayub	All-Rounder	PAK	A	6.5
P072	Shaheen Shah Afridi	Bowler	PAK	A	8.5
P073	Shadab Khan	All-Rounder	PAK	A	6
P074	Usman Khan	Wicket-Keeper	PAK	A	5
P075	Usman Tariq	Bowler	PAK	A	3.5
P076	Mitchell Marsh	All-Rounder	AUS	B	10
P077	Xavier Bartlett	Bowler	AUS	B	7
P078	Cooper Connolly	All-Rounder	AUS	B	6.5
P079	Tim David	Batter	AUS	B	10.5
